tweeted_at,username,tweet,clean_tweet,sentiment
2020-04-11 14:03:54,wowaqu,Liat jungwoo di uncut take 3 dance paractice berasa liat mahasiswa binus😄,liat jungwoo uncut take dance paractice berasa liat mahasiswa binus,negative
2020-04-11 14:01:32,caratelf_,@collegemenfess Binus always buka alias nga pernah tutup pendaftaran nder :”),binus always buka alias nga pernah tutup pendaftaran nder,positive
2020-04-11 13:58:37,shittmask,"@collegemenfess Binus, lspr ,tel u tapi aku pasti insekyur🙃",binus lspr tel aku insekyur,neutral
2020-04-11 13:57:27,MShidqiH,@collegemenfess BINUS - Ilmu Komunikasi,binus ilmu komunikasi,neutral
2020-04-11 13:55:31,limerenescent,@belleetreussie yah temen aku binus bandung,yah temen aku binus bandung,neutral
2020-04-11 13:50:55,collegemenfess,[cm] ada yg ekstensi dari d3 ke s1 akuntansi binus online ngga? Mau nanya2 boleh nggaa??Makasih😊,cm yg ekstensi d3 s1 akuntansi binus online ngga mau nanya2 nggaa makasih,neutral
2020-04-11 13:50:46,hhaannif,@Gas_Truzzz @zahranirsyad emg paling ngeri fakboy cabang binus alam sutra,emg paling ngeri fakboy cabang binus alam sutra,positive
2020-04-11 13:49:57,dkfmaekdns__,@VionAlonso Mikirku juga gitu. Passion di enterpreneurnya bukan di finance nya. Mending binus.,mikirku gitu passion enterpreneurnya bukan finance nya mending binus,positive
2020-04-11 13:48:55,belleetreussie,"@tidakmissu Hiks ak habis ditipu 420K sm anak binus, pengen nyari orangnya",hiks ak habis ditipu 420k sm anak binus pengen nyari orangnya,neutral
2020-04-11 13:47:30,VionAlonso,"@dkfmaekdns__ Maap nimprung.Jerman emang byk sih beasiswa,tinggal biaya hidup. Beasiswa biasanya cuma byr krg lbih… https://t.co/92bxTKXW9B",maap nimprung jerman emang byk sih beasiswa tinggal biaya hidup beasiswa biasanya cuma byr krg lbih,positive
2020-04-11 13:46:06,Jmurbeiy,@schoolmnfs keunggulannya di PTS abis lulus bisa di salurkan ke perusahaan2 yg kerjasama dgn PTS tsb jd ga pusing n… https://t.co/c5Y7tgwWaR,keunggulannya pts abis lulus salurkan perusahaan2 yg kerjasama dgn pts tsb jd ga pusing,neutral
2020-04-11 13:45:49,bobawthluv,@belleetreussie Sepupu ak anak binus jkt,sepupu ak anak binus jkt,neutral
